product_id,brand,title,description,category,subcategory,gender,color,material,fit,sleeve,pattern,price_inr,image_url,injected_defect
P137,Anouk,Anouk Handbag,"Black handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,black,leather,regular,medium,solid,899,images/P137.jpg,none
P138,Libas,Libas Men's Black Straight Jeans,"Black jeans designed for everyday wear, featuring a straight fit and denim construction.",Jeans,jeans,Men,black,denim,straight,full,solid,699,images/P138.jpg,none
P139,Puma,Puma Women's Blue Regular Running Shoes,"Blue running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Women,blue,mesh,regular,low-top,colour-block,599,images/P139.jpg,none
P140,U.S. Polo Assn.,U.S. Polo Assn. Men's Olive Slim Jacket,"Olive jacket designed for everyday wear, featuring a slim fit and polyester construction.",Jacket,jacket,Men,olive,polyester,slim,full,solid,1299,images/P140.jpg,none
P141,Puma,Puma Women's Olive Straight Trousers,"Olive trousers designed for everyday wear, featuring a straight fit and linen construction.",Trousers,trousers,Women,,linen,straight,full,solid,799,images/P141.jpg,color
P142,U.S. Polo Assn.,U.S. Polo Assn. Men's Red Wide Running Shoes,"Red running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Men,red,mesh,wide,low-top,colour-block,1699,images/P142.jpg,none
P143,U.S. Polo Assn.,U.S. Polo Assn. Women's Black Relaxed Trousers,"Black trousers designed for everyday wear, featuring a relaxed fit and linen construction.",Trousers,trousers,Women,black,linen,relaxed,full,solid,899,images/P143.jpg,none
P144,Tokyo Talkies,Tokyo Talkies Women's Pink Slim Sneakers,"Pink sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Women,pink,mesh,slim,low-top,solid,1199,images/P144.jpg,none
P145,HERE&NOW,HERE&NOW Men's Grey Regular T-Shirt,"Grey t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,,cotton,regular,half,solid,1299,images/P145.jpg,color
P146,DressBerry,DressBerry Women's Black Wide Running Shoes,"Black running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Women,black,mesh,wide,low-top,solid,2499,images/P146.jpg,none
P147,HERE&NOW,HERE&NOW Men's Black Straight Cargo Pants,"Black cargo pants designed for everyday wear, featuring a straight fit and cotton construction.",Cargo Pants,cargo pants,Men,black,cotton,straight,full,solid,1999,images/P147.jpg,none
P148,HERE&NOW,HERE&NOW Men's White Regular Sneakers,"White sneakers designed for everyday wear, featuring a regular fit and mesh construction.",Sneakers,sneakers,Men,white,mesh,regular,low-top,colour-block,999,images/P148.jpg,none
P149,WROGN,WROGN Women's Red Regular Handbag,"Red handbag designed for everyday wear, featuring a regular fit and leather construction.",Handbag,handbag,Women,red,leather,regular,medium,textured,999,images/P149.jpg,none
P150,Puma,Puma Women's Red Regular Dress,"Red dress designed for everyday wear, featuring a regular fit and polyester construction.",Dress,dress,Women,red,polyester,regular,sleeveless,solid,2499,images/P150.jpg,none
P151,Tokyo Talkies,Tokyo Talkies Men's Black Regular Jacket,"Black jacket designed for everyday wear, featuring a regular fit and polyester construction.",Jacket,jacket,Men,black,polyester,regular,full,solid,1499,images/P151.jpg,none
P152,WROGN,WROGN Trousers,"White trousers designed for everyday wear, featuring a relaxed fit and linen construction.",Trousers,trousers,Women,white,linen,relaxed,full,solid,799,images/P152.jpg,none
P153,U.S. Polo Assn.,U.S. Polo Assn. Men's Blue Slim Shirt,"Blue shirt designed for everyday wear, featuring a slim fit and cotton construction.",Shirt,shirt,Men,blue,cotton,slim,half,checked,1999,images/P153.jpg,none
P154,HRX,HRX Men's Black Slim Trousers,"Black trousers designed for everyday wear, featuring a slim fit and cotton construction.",Trousers,trousers,Men,black,cotton,slim,full,checked,2499,images/P154.jpg,none
P155,Puma,Puma Men's Olive Regular Jacket,"Olive jacket designed for everyday wear, featuring a regular fit and polyester construction.",Jacket,jacket,Men,,polyester,regular,full,solid,599,images/P155.jpg,color
P156,HERE&NOW,HERE&NOW Men's Beige Slim Trousers,"Beige trousers designed for everyday wear, featuring a slim fit and cotton construction.",Trousers,trousers,Men,beige,cotton,slim,full,checked,599,images/P156.jpg,none
P157,Levis,Levis Men's Grey Oversized T-Shirt,"Grey t-shirt designed for everyday wear, featuring a oversized fit and cotton construction.",T-Shirt,t-shirt,Men,grey,cotton,oversized,half,striped,1699,images/P157.jpg,none
P158,Roadster,Roadster Men's Beige Oversized Shirt,"Beige shirt designed for everyday wear, featuring a oversized fit and cotton construction.",Shirt,shirt,Men,beige,cotton,oversized,half,solid,1499,images/P158.jpg,none
P159,HERE&NOW,HERE&NOW Men's Blue Wide Running Shoes,"Blue running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Men,,mesh,wide,low-top,colour-block,1299,images/P159.jpg,color
P160,MANGO,MANGO Men's Blue Wide Running Shoes,Blue running shoes designed for eve,Running Shoes,running shoes,Men,blue,mesh,wide,low-top,solid,699,images/P160.jpg,description
P161,Mast & Harbour,Mast & Harbour Women's Black Wide Running Shoes,"Black running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Women,black,mesh,wide,low-top,colour-block,1199,images/P161.jpg,none
P162,DressBerry,DressBerry Men's Black Oversized Jacket,"Black jacket designed for everyday wear, featuring a oversized fit and polyester construction.",Jacket,jacket,Men,black,polyester,oversized,full,solid,2999,images/P162.jpg,none
P163,Mast & Harbour,Mast & Harbour Men's White Regular T-Shirt,"White t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,white,cotton,regular,half,solid,799,images/P163.jpg,none
P164,Anouk,Anouk Men's Black Regular Jacket,"Black jacket designed for everyday wear, featuring a regular fit and polyester construction.",Jacket,jacket,Men,black,polyester,regular,full,colour-block,1999,images/P164.jpg,none
P165,U.S. Polo Assn.,U.S. Polo Assn. Men's Beige Tapered Cargo Pants,"Beige cargo pants designed for everyday wear, featuring a tapered fit and cotton construction.",Cargo Pants,cargo pants,Men,beige,cotton,tapered,full,solid,699,images/P165.jpg,none
P166,Levis,Levis Men's Navy Relaxed Trousers,"Navy trousers designed for everyday wear, featuring a relaxed fit and cotton construction.",Trousers,trousers,Men,navy,cotton,relaxed,full,solid,699,images/P166.jpg,none
P167,Puma,Puma Men's Navy Slim Kurta,"Navy kurta designed for everyday wear, featuring a slim fit and cotton construction.",Kurta,kurta,Men,navy,cotton,slim,full,solid,1999,images/P167.jpg,none
P168,Puma,Puma Women's Black Wide Running Shoes,"Black running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Women,black,mesh,wide,low-top,solid,1499,images/P168.jpg,none
P169,Roadster,Roadster Men's Black Wide Sneakers,"Black sneakers designed for everyday wear, featuring a wide fit and mesh construction.",Sneakers,sneakers,Men,black,mesh,wide,low-top,solid,899,images/P169.jpg,none
P170,HRX,HRX Women's Blue Regular Running Shoes,"Blue running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Women,blue,mesh,regular,low-top,colour-block,1299,images/P170.jpg,none
P171,HERE&NOW,HERE&NOW Men's Black Wide Running Shoes,"Black running shoes designed for everyday wear, featuring a wide fit and mesh construction.",Running Shoes,running shoes,Men,black,mesh,wide,low-top,solid,1699,images/P171.jpg,none
P172,DressBerry,DressBerry Women's Beige Wide Leg Trousers,"Beige trousers designed for everyday wear, featuring a wide leg fit and linen construction.",Trousers,trousers,Women,beige,linen,wide-leg,full,solid,999,images/P172.jpg,none
P173,Levis,Levis Women's White Slim Sneakers,"White sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Women,white,mesh,slim,low-top,solid,1299,images/P173.jpg,none
P174,Levis,Levis Men's Green Regular T-Shirt,"Green t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,,cotton,regular,half,striped,1199,images/P174.jpg,color
P175,WROGN,WROGN Women's Grey Relaxed Jeans,"Grey jeans designed for everyday wear, featuring a relaxed fit and denim construction.",Jeans,jeans,Women,grey,,relaxed,full,solid,799,images/P175.jpg,material
P176,Puma,Puma Women's Blue Regular Running Shoes,"Blue running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Women,blue,mesh,,low-top,colour-block,1299,images/P176.jpg,fit
P177,Tokyo Talkies,Tokyo Talkies Men's Beige Relaxed Trousers,"Beige trousers designed for everyday wear, featuring a relaxed fit and cotton construction.",Trousers,trousers,Men,beige,cotton,relaxed,full,checked,1199,images/P177.jpg,none
P178,Levis,Levis Men's Grey Slim Sneakers,"Grey sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Men,grey,mesh,slim,low-top,colour-block,899,images/P178.jpg,none
P179,Anouk,Anouk Men's White Wide Sneakers,"White sneakers designed for everyday wear, featuring a wide fit and mesh construction.",Sneakers,sneakers,Men,white,mesh,wide,low-top,colour-block,999,images/P179.jpg,none
P180,Roadster,Roadster Women's White Regular Sneakers,"White sneakers designed for everyday wear, featuring a regular fit and mesh construction.",Sneakers,sneakers,Women,white,mesh,regular,low-top,solid,2499,images/P180.jpg,none
P181,HERE&NOW,HERE&NOW Men's Black Tapered Cargo Pants,"Black cargo pants designed for everyday wear, featuring a tapered fit and cotton construction.",Cargo Pants,cargo pants,Men,black,cotton,tapered,full,solid,799,images/P181.jpg,none
P182,DressBerry,DressBerry Men's Grey Regular T-Shirt,"Grey t-shirt designed for everyday wear, featuring a regular fit and cotton construction.",T-Shirt,t-shirt,Men,grey,cotton,regular,half,solid,599,images/P182.jpg,none
P183,Mast & Harbour,Mast & Harbour Women's White Slim Dress,"White dress designed for everyday wear, featuring a slim fit and polyester construction.",Dress,dress,Women,white,polyester,slim,half,solid,599,images/P183.jpg,none
P184,HRX,HRX Women's White Straight Trousers,"White trousers designed for everyday wear, featuring a straight fit and linen construction.",Trousers,trousers,Women,white,linen,straight,full,solid,1499,images/P184.jpg,none
P185,Roadster,Roadster Women's Olive Wide Leg Trousers,Olive trousers designed for everyda,Trousers,trousers,Women,olive,linen,wide-leg,full,solid,999,images/P185.jpg,description
P186,HRX,HRX Women's Olive Straight Trousers,"Olive trousers designed for everyday wear, featuring a straight fit and linen construction.",Trousers,trousers,Women,olive,linen,straight,full,,699,images/P186.jpg,pattern
P187,Puma,Puma Men's Blue Regular Running Shoes,"Blue running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Men,blue,mesh,,low-top,solid,1699,images/P187.jpg,fit
P188,Puma,Puma Men's Blue Slim Jeans,Blue jeans designed for everyday we,Jeans,jeans,Men,blue,denim,slim,full,solid,1299,images/P188.jpg,description
P189,MANGO,MANGO Women's Grey Regular Running Shoes,"Grey running shoes designed for everyday wear, featuring a regular fit and mesh construction.",Running Shoes,running shoes,Women,grey,mesh,regular,low-top,,1499,images/P189.jpg,pattern
P190,DressBerry,DressBerry Men's Grey Slim Jeans,"Grey jeans designed for everyday wear, featuring a slim fit and denim construction.",Jeans,jeans,Men,grey,denim,slim,full,solid,899,images/P190.jpg,none
P191,Levis,Levis Men's Navy Straight Trousers,"Navy trousers designed for everyday wear, featuring a straight fit and cotton construction.",Trousers,trousers,Men,navy,cotton,straight,full,solid,1199,images/P191.jpg,none
P192,Anouk,Anouk Trousers,"Grey trousers designed for everyday wear, featuring a relaxed fit and cotton construction.",Trousers,trousers,Men,grey,cotton,relaxed,full,,799,images/P192.jpg,pattern
P193,HRX,HRX Women's Black Straight Jeans,"Black jeans designed for everyday wear, featuring a straight fit and denim construction.",Jeans,jeans,Women,black,denim,straight,full,solid,1699,images/P193.jpg,none
P194,DressBerry,DressBerry Men's Grey Regular Sneakers,"Grey sneakers designed for everyday wear, featuring a regular fit and mesh construction.",Sneakers,sneakers,Men,grey,mesh,regular,low-top,solid,599,images/P194.jpg,none
P195,Tokyo Talkies,Tokyo Talkies Men's Blue Slim Shirt,"Blue shirt designed for everyday wear, featuring a slim fit and cotton construction.",Shirt,shirt,Men,blue,cotton,slim,half,striped,1199,images/P195.jpg,none
P196,Libas,Libas Men's Grey Slim Sneakers,"Grey sneakers designed for everyday wear, featuring a slim fit and mesh construction.",Sneakers,sneakers,Men,grey,mesh,,low-top,colour-block,1299,images/P196.jpg,fit
P197,HRX,HRX Women's Black Regular Dress,"Black dress designed for everyday wear, featuring a regular fit and polyester construction.",Dress,dress,Women,black,polyester,regular,half,floral,1499,images/P197.jpg,none
P198,Libas,Libas Women's Olive Wide Leg Trousers,"Olive trousers designed for everyday wear, featuring a wide leg fit and linen construction.",Trousers,trousers,Women,olive,linen,wide-leg,full,checked,1199,images/P198.jpg,none
P199,Levis,Levis Men's Black Regular Jacket,"Black jacket designed for everyday wear, featuring a regular fit and polyester construction.",Jacket,jacket,Men,black,polyester,regular,full,colour-block,2999,images/P199.jpg,none
P200,WROGN,WROGN Men's Green Oversized T-Shirt,Green t-shirt designed for everyday,T-Shirt,t-shirt,Men,green,cotton,oversized,half,graphic,699,images/P200.jpg,description
